scenario,metric,metric_label,direction,comparator,n_pairs,governed_mean,comparator_mean,mean_paired_benefit,percent_benefit_vs_comparator,ci95_bca_low,ci95_bca_high,rank_biserial,wilcoxon_p_raw,wilcoxon_p_holm,holm_reject_0_05
F1_C3,post_5min_mean_time_loss_s,Post-warm-up mean time loss (s),lower,agentic_governed_no_peer,10,29.39683819245235,29.613843017792465,0.21700482534011378,0.7327817102621023,-0.6985557894391772,1.0964428898401477,0.23636363636363636,0.556640625,1.0,False
F1_C3,post_5min_mean_time_loss_s,Post-warm-up mean time loss (s),lower,local_maxwave,10,29.39683819245235,29.613843017792465,0.21700482534011378,0.7327817102621023,-0.7304647273428028,1.0786791854582214,0.23636363636363636,0.556640625,1.0,False
F1_C3,post_5min_mean_time_loss_s,Post-warm-up mean time loss (s),lower,coordinated_maxpressure,10,29.39683819245235,24.732002719116714,-4.664835473335638,-18.86153550246027,-5.482012822828382,-3.5759568990397286,-1.0,0.001953125,0.01171875,True
F1_C3,post_5min_p95_time_loss_s,Post-warm-up P95 time loss (s),lower,agentic_governed_no_peer,10,105.825,105.87,0.04499999999999886,0.04250495891187197,-3.5107823959011144,3.5594188317156004,0.01818181818181818,1.0,1.0,False
F1_C3,post_5min_p95_time_loss_s,Post-warm-up P95 time loss (s),lower,local_maxwave,10,105.825,105.87,0.04499999999999886,0.04250495891187197,-3.5870000000000024,3.521000000000002,0.01818181818181818,1.0,1.0,False
F1_C3,post_5min_p95_time_loss_s,Post-warm-up P95 time loss (s),lower,coordinated_maxpressure,10,105.825,82.043,-23.782,-28.987238399375936,-26.000616802256104,-19.590005018068478,-1.0,0.001953125,0.01171875,True
F1_C3,maximum_approach_wait_s,Maximum approach wait (s),lower,agentic_governed_no_peer,10,40.8,42.5,1.7,4.0,-4.1,7.2,0.23636363636363636,0.541015625,1.0,False
F1_C3,maximum_approach_wait_s,Maximum approach wait (s),lower,local_maxwave,10,40.8,42.5,1.7,4.0,-4.2,7.2,0.23636363636363636,0.541015625,1.0,False
F1_C3,maximum_approach_wait_s,Maximum approach wait (s),lower,coordinated_maxpressure,10,40.8,84.8,44.0,51.886792452830186,35.2,52.6,1.0,0.001953125,0.01171875,True
F1_C3,max_spillback_duration_s,Maximum spillback duration (s),lower,agentic_governed_no_peer,10,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,False
F1_C3,max_spillback_duration_s,Maximum spillback duration (s),lower,local_maxwave,10,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,False
F1_C3,max_spillback_duration_s,Maximum spillback duration (s),lower,coordinated_maxpressure,10,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,False
F1_C3,post_5min_completed_trips,Post-warm-up completed trips,higher,agentic_governed_no_peer,10,2509.9,2510.7,-0.8,-0.03186362369060421,-5.6,4.3,-0.06666666666666667,0.89453125,1.0,False
F1_C3,post_5min_completed_trips,Post-warm-up completed trips,higher,local_maxwave,10,2509.9,2510.7,-0.8,-0.03186362369060421,-5.9,4.3,-0.06666666666666667,0.89453125,1.0,False
F1_C3,post_5min_completed_trips,Post-warm-up completed trips,higher,coordinated_maxpressure,10,2509.9,2508.8,1.1,0.043845663265306124,-3.8,5.3,0.24444444444444444,0.546875,1.0,False
