state_index,agent_index,source_identity,scenario,seed,intersection_id,request_kind,status,call_latency_s,parallel_batch_wall_latency_s,input_tokens,cached_input_tokens,output_tokens,estimated_input_tokens,exact_intent_agreement_with_batched,independent_intent,batched_intent
0,0,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,247379907,scheduled,ok,2.345118900997477,2.4879973269999027,865,0,66,1028,False,bias_corridor,bias_corridor
0,1,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,252017285,scheduled,ok,2.4761941990000196,2.4879973269999027,999,0,64,1164,True,keep_local_plan,keep_local_plan
0,2,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,256201389,scheduled,ok,2.3789093880004657,2.4879973269999027,860,0,66,1023,False,bias_corridor,keep_local_plan
0,3,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,26110729,scheduled,ok,2.1955501550000918,2.4879973269999027,926,0,64,1090,False,keep_local_plan,bias_corridor
0,4,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,280120513,scheduled,ok,2.2104218899985426,2.4879973269999027,974,0,66,1139,False,bias_corridor,coordinate_offset
0,5,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,32319828,scheduled,ok,2.171019604000321,2.4879973269999027,854,0,64,1017,True,keep_local_plan,keep_local_plan
0,6,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,62426694,scheduled,ok,2.348406994002289,2.4879973269999027,921,0,66,1085,False,bias_corridor,keep_local_plan
0,7,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,cluster_1098574052_1098574061_247379905,scheduled,ok,2.170683997999731,2.4879973269999027,878,0,76,1041,False,keep_local_plan,request_fallback
1,0,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,247379907,scheduled,ok,1.8140390820008179,4.160035537002841,866,0,66,1029,False,bias_corridor,keep_local_plan
1,1,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,252017285,scheduled,ok,1.2438923699992301,4.160035537002841,993,0,66,1158,False,bias_corridor,bias_corridor
1,2,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,256201389,scheduled,ok,1.321987122999417,4.160035537002841,860,0,64,1023,False,keep_local_plan,keep_local_plan
1,3,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,26110729,scheduled,ok,1.2237473770001088,4.160035537002841,927,0,66,1091,False,bias_corridor,request_fallback
1,4,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,280120513,scheduled,ok,1.3458628830012458,4.160035537002841,976,0,64,1141,False,keep_local_plan,bias_corridor
1,5,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,32319828,scheduled,ok,2.4412400940018415,4.160035537002841,854,0,64,1017,False,keep_local_plan,keep_local_plan
1,6,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,62426694,scheduled,ok,1.5565142189989274,4.160035537002841,921,0,66,1085,False,bias_corridor,keep_local_plan
1,7,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,cluster_1098574052_1098574061_247379905,scheduled,ok,4.0745753580013115,4.160035537002841,878,0,76,1041,False,keep_local_plan,bias_corridor
2,0,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,247379907,emergency,ok,2.9738432900012413,2.977457176999451,867,0,64,1030,True,keep_local_plan,keep_local_plan
2,1,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,252017285,emergency,ok,1.601589341997169,2.977457176999451,1001,0,64,1166,False,bias_corridor,keep_local_plan
2,2,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,256201389,emergency,ok,2.1408534339971084,2.977457176999451,861,0,64,1024,False,keep_local_plan,keep_local_plan
2,3,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,26110729,emergency,ok,1.588061528000253,2.977457176999451,927,0,66,1091,False,bias_corridor,bias_corridor
2,4,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,280120513,emergency,ok,1.4338280560004932,2.977457176999451,977,0,66,1142,False,bias_corridor,request_fallback
2,5,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,32319828,emergency,ok,1.4659703229990555,2.977457176999451,855,0,64,1018,True,keep_local_plan,keep_local_plan
