scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S0,agentic_governed,mean_time_loss_s,Mean time loss (s),20,41.4969477193968,40.36809923271189,42.613248225383785,mean_of_runs
S0,agentic_governed,p95_time_loss_s,P95 time loss (s),20,127.105,117.85,137.79500000000002,median_of_run_values
S0,agentic_governed,p95_trip_time_s,P95 trip time (s),20,221.5,216.0,226.5,median_of_run_values
S0,agentic_governed,completed_trips,Completed trips,20,2012.4,2010.9,2013.55,mean_of_runs
S0,agentic_governed,max_total_queue,Maximum total queue,20,62.65,57.9,67.8,mean_of_runs
S0,agentic_governed,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed,wan_application_bytes,WAN application bytes/h,20,394830.45,394715.7,394944.00375,mean_of_runs
S0,agentic_governed,peer_application_bytes,Peer application bytes/h,20,1858476.15,1858130.445,1858834.20125,mean_of_runs
S0,agentic_governed,proposed_unsafe_actions,Proposed policy violations,20,14.65,13.1,16.2,mean_of_runs
S0,agentic_governed,blocked_unsafe_actions,Blocked policy violations,20,14.65,13.05,16.15,mean_of_runs
S0,agentic_governed,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed_no_peer,mean_time_loss_s,Mean time loss (s),20,41.812030950286285,41.049630574899865,42.65901003147639,mean_of_runs
S0,agentic_governed_no_peer,p95_time_loss_s,P95 time loss (s),20,124.36,120.06,128.765,median_of_run_values
S0,agentic_governed_no_peer,p95_trip_time_s,P95 trip time (s),20,224.5,221.5,230.5,median_of_run_values
S0,agentic_governed_no_peer,completed_trips,Completed trips,20,2013.05,2011.6,2014.35,mean_of_runs
S0,agentic_governed_no_peer,max_total_queue,Maximum total queue,20,60.55,56.3,66.6,mean_of_runs
S0,agentic_governed_no_peer,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed_no_peer,wan_application_bytes,WAN application bytes/h,20,302920.4,302865.55,302980.10124999995,mean_of_runs
S0,agentic_governed_no_peer,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed_no_peer,proposed_unsafe_actions,Proposed policy violations,20,4.4,3.2,5.7,mean_of_runs
S0,agentic_governed_no_peer,blocked_unsafe_actions,Blocked policy violations,20,4.4,3.25,5.65,mean_of_runs
S0,agentic_governed_no_peer,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,agentic_governed_no_peer,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,0.0,0.0,0.0,mean_of_runs
S0,agentic_unguarded,mean_time_loss_s,Mean time loss (s),20,40.75782258031936,39.66355138687569,41.84211974492656,mean_of_runs
S0,agentic_unguarded,p95_time_loss_s,P95 time loss (s),20,118.59,109.495,138.365,median_of_run_values
S0,agentic_unguarded,p95_trip_time_s,P95 trip time (s),20,222.5,215.5,227.0,median_of_run_values
S0,agentic_unguarded,completed_trips,Completed trips,20,2012.0,2010.65,2013.2,mean_of_runs
S0,agentic_unguarded,max_total_queue,Maximum total queue,20,63.85,58.1,70.75,mean_of_runs
S0,agentic_unguarded,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,agentic_unguarded,wan_application_bytes,WAN application bytes/h,20,394844.0,394574.3475,395081.51125,mean_of_runs
S0,agentic_unguarded,peer_application_bytes,Peer application bytes/h,20,1858469.65,1858000.6837499999,1858941.4,mean_of_runs
S0,agentic_unguarded,proposed_unsafe_actions,Proposed policy violations,20,17.95,15.85,20.15,mean_of_runs
S0,agentic_unguarded,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,agentic_unguarded,executed_unsafe_actions,Executed policy violations,20,17.95,15.9,20.15124999999998,mean_of_runs
S0,agentic_unguarded,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",20,77.83376664842181,68.83515496715928,87.24551860974275,mean_of_runs
S0,cloud_maxpressure,mean_time_loss_s,Mean time loss (s),20,63.18837475656973,61.291045259804356,64.90716870602814,mean_of_runs
S0,cloud_maxpressure,p95_time_loss_s,P95 time loss (s),20,212.98000000000002,188.26999999999998,220.845,median_of_run_values
S0,cloud_maxpressure,p95_trip_time_s,P95 trip time (s),20,297.0,288.0,304.5,median_of_run_values
S0,cloud_maxpressure,completed_trips,Completed trips,20,1995.5,1993.1,1997.85,mean_of_runs
S0,cloud_maxpressure,max_total_queue,Maximum total queue,20,114.8,107.2,122.55,mean_of_runs
S0,cloud_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S0,cloud_maxpressure,wan_application_bytes,WAN application bytes/h,20,8777505.05,8777113.24375,8777891.706249999,mean_of_runs
S0,cloud_maxpressure,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S0,cloud_maxpressure,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S0,cloud_maxpressure,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
