scenario,metric,metric_label,governed,comparator,n_pairs,difference_definition,mean_paired_difference,median_paired_difference,ci95_low,ci95_high,rank_biserial,wilcoxon_p_raw,wilcoxon_p_holm,holm_reject_0_05
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.3150832308894806,0.3625033818058334,-0.9376351904859472,1.484534736854531,0.18095238095238095,0.49800872802734375,1.0,False
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,-0.7391251390774386,-0.995705476289352,-2.3573183726116764,0.9506020086542593,-0.2571428571428571,0.3299827575683594,1.0,False
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,21.69142703717294,21.425233086055663,19.987705424493157,23.36240753360402,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,25.0424364943294,25.78934396513602,21.56829912175783,28.654828297126677,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,fixed,20,positive_favors_governed,7.067020107475718,6.955313224075294,5.9207781260755015,8.211707421965315,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,mean_time_loss_s,Mean time loss (s),agentic_governed,local_maxwave,20,positive_favors_governed,0.12930490939814235,-0.013228157356628856,-1.1846536970076904,1.337267344584147,0.13333333333333333,0.6215133666992188,1.0,False
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-1.8170000000000024,3.5450000000000017,-12.404500000000002,8.511612499999993,-0.06666666666666667,0.8123550415039062,1.0,False
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,-5.979500000000004,-5.285000000000011,-16.393237500000005,3.7701124999999958,-0.21904761904761905,0.40909767150878906,1.0,False
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,76.92150000000001,77.89500000000001,64.94313749999999,88.27674999999998,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,96.63700000000001,93.64,72.96758750000001,119.70707499999999,0.9809523809523809,5.7220458984375e-06,0.000125885009765625,True
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,fixed,20,positive_favors_governed,-0.5600000000000029,-1.990000000000009,-8.5888,7.2495249999999976,-0.05714285714285714,0.8408222198486328,1.0,False
S0,p95_time_loss_s,P95 time loss (s),agentic_governed,local_maxwave,20,positive_favors_governed,-3.1715000000000004,-1.6499999999999915,-12.571524999999998,5.7176124999999995,-0.14285714285714285,0.5958194732666016,1.0,False
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,3.3,4.0,-1.35,7.85,0.34285714285714286,0.17865311964913733,1.0,False
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,0.45,-1.0,-5.651249999999999,6.75,0.010526315789473684,0.9678870518066629,1.0,False
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,73.2,75.0,66.6,79.85124999999998,1.0,8.819870204194453e-05,0.002374617423703541,True
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,87.1,80.0,71.35,104.5,1.0,8.832385863081277e-05,0.002374617423703541,True
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,fixed,20,positive_favors_governed,23.35,24.0,18.75,28.0,0.9904761904761905,0.00010248649056818514,0.002374617423703541,True
S0,p95_trip_time_s,P95 trip time (s),agentic_governed,local_maxwave,20,positive_favors_governed,2.7,2.0,-2.15,7.6,0.2631578947368421,0.31399717552631656,1.0,False
S0,completed_trips,Completed trips,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-0.65,-0.5,-2.1,0.7,-0.25,0.3754360615572929,1.0,False
S0,completed_trips,Completed trips,agentic_governed,agentic_unguarded,20,positive_favors_governed,0.4,0.5,-1.25,2.0,0.20261437908496732,0.4551689872958835,1.0,False
S0,completed_trips,Completed trips,agentic_governed,cloud_maxpressure,20,positive_favors_governed,16.9,16.0,14.25,19.55,1.0,8.633748926134029e-05,0.0021720885156601547,True
S0,completed_trips,Completed trips,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,13.6,14.0,10.7,16.6,1.0,0.00012774301113149903,0.0024271172114984814,True
S0,completed_trips,Completed trips,agentic_governed,fixed,20,positive_favors_governed,10.45,10.5,9.2,11.55,1.0,8.378218840902654e-05,0.0021720885156601547,True
S0,completed_trips,Completed trips,agentic_governed,local_maxwave,20,positive_favors_governed,-1.15,-0.5,-2.75,0.0,-0.5,0.0741867865037315,0.8160546515410465,False
S0,max_total_queue,Maximum total queue,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-2.1,-1.5,-9.15,6.25,-0.2904761904761905,0.25393867929430936,1.0,False
S0,max_total_queue,Maximum total queue,agentic_governed,agentic_unguarded,20,positive_favors_governed,1.2,0.0,-7.2,9.9,0.09803921568627451,0.7224509488777382,1.0,False
S0,max_total_queue,Maximum total queue,agentic_governed,cloud_maxpressure,20,positive_favors_governed,52.15,48.5,42.6,61.8,1.0,8.832385863081277e-05,0.0021800574482719903,True
S0,max_total_queue,Maximum total queue,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,66.95,63.0,57.3,76.85,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,max_total_queue,Maximum total queue,agentic_governed,fixed,20,positive_favors_governed,5.2,7.0,0.05,10.151249999999981,0.4666666666666667,0.06725913065927369,1.0,False
S0,max_total_queue,Maximum total queue,agentic_governed,local_maxwave,20,positive_favors_governed,-4.7,-1.5,-10.15,0.3,-0.37894736842105264,0.1469243403621482,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,agentic_unguarded,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,cloud_maxpressure,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,coordinated_maxpressure,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,fixed,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,local_maxwave,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-91910.05,-91927.5,-92031.1525,-91781.6,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,agentic_unguarded,20,positive_favors_governed,13.55,26.5,-279.26874999999995,306.10249999999996,0.05714285714285714,0.8408222198486328,1.0,False
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,cloud_maxpressure,20,positive_favors_governed,8382674.6,8382666.0,8382272.85,8383071.8025,1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,-394830.45,-394824.5,-394943.4,-394712.445,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,fixed,20,positive_favors_governed,-394830.45,-394824.5,-394942.2025,-394713.94875000004,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,wan_application_bytes,WAN application bytes/h,agentic_governed,local_maxwave,20,positive_favors_governed,-394830.45,-394824.5,-394943.805,-394715.54875,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-1858476.15,-1858489.5,-1858830.85,-1858129.2950000002,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,agentic_unguarded,20,positive_favors_governed,-6.5,-97.0,-613.10625,583.5299999999995,0.009523809523809525,0.9854354858398438,1.0,False
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,cloud_maxpressure,20,positive_favors_governed,-1858476.15,-1858489.5,-1858828.10125,-1858127.69625,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,-1858476.15,-1858489.5,-1858840.40625,-1858134.5962500002,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,fixed,20,positive_favors_governed,-1858476.15,-1858489.5,-1858826.70125,-1858138.85,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,peer_application_bytes,Peer application bytes/h,agentic_governed,local_maxwave,20,positive_favors_governed,-1858476.15,-1858489.5,-1858827.9549999998,-1858127.5950000002,-1.0,1.9073486328125e-06,5.14984130859375e-05,True
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,-10.25,-10.0,-11.85,-8.7,-1.0,8.572377593819394e-05,0.00230135041870983,True
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,agentic_unguarded,20,positive_favors_governed,3.3,3.0,0.65,6.05,0.5105263157894737,0.05028871480124877,0.09765625,False
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,cloud_maxpressure,20,positive_favors_governed,-14.65,-15.5,-16.15,-13.05,-1.0,8.670731863656777e-05,0.00230135041870983,True
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,-14.65,-15.5,-16.15,-13.0,-1.0,8.670731863656777e-05,0.00230135041870983,True
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,fixed,20,positive_favors_governed,-14.65,-15.5,-16.2,-13.05,-1.0,8.670731863656777e-05,0.00230135041870983,True
S0,proposed_unsafe_actions,Proposed policy violations,agentic_governed,local_maxwave,20,positive_favors_governed,-14.65,-15.5,-16.15,-13.0,-1.0,8.670731863656777e-05,0.00230135041870983,True
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,agentic_unguarded,20,positive_favors_governed,17.95,18.0,15.9,20.15,1.0,8.720229793087962e-05,0.0023444332887706297,True
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,cloud_maxpressure,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,coordinated_maxpressure,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,fixed,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,executed_unsafe_actions,Executed policy violations,agentic_governed,local_maxwave,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",agentic_governed,agentic_governed_no_peer,20,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S0,unsafe_actions_per_1000_decisions,"Executed violations per 1,000 decisions",agentic_governed,agentic_unguarded,20,positive_favors_governed,77.83376664842181,75.0,68.58373671547164,87.56531939883233,1.0,8.819870204194453e-05,0.0006173909142936117,True
S1,mean_time_loss_s,Mean time loss (s),agentic_governed,agentic_unguarded,10,positive_favors_governed,0.42098447490999436,-0.06725886341397569,-2.104872873459154,3.2228269502195914,0.05454545454545454,0.921875,1.0,False
S1,mean_time_loss_s,Mean time loss (s),agentic_governed,cloud_maxpressure,10,positive_favors_governed,21.774983999064325,21.2723337079326,17.27188949632453,26.658386386891955,1.0,0.001953125,0.03515625,True
S1,mean_time_loss_s,Mean time loss (s),agentic_governed,coordinated_maxpressure,10,positive_favors_governed,36.911643734073756,30.82501420788528,25.766368181665957,48.92121731194937,1.0,0.001953125,0.03515625,True
S1,mean_time_loss_s,Mean time loss (s),agentic_governed,fixed,10,positive_favors_governed,7.326569828692428,6.9286457063493785,5.25842918438772,9.483385974479985,1.0,0.001953125,0.03515625,True
S1,mean_time_loss_s,Mean time loss (s),agentic_governed,local_maxwave,10,positive_favors_governed,-2.987043056552131,-3.150640505917991,-4.871839831526659,-1.0994070723014455,-0.7090909090909091,0.048828125,0.537109375,False
S1,p95_time_loss_s,P95 time loss (s),agentic_governed,agentic_unguarded,10,positive_favors_governed,-4.667000000000002,-5.054999999999993,-17.916449999999998,8.414224999999995,-0.2727272727272727,0.4921875,1.0,False
S1,p95_time_loss_s,P95 time loss (s),agentic_governed,cloud_maxpressure,10,positive_favors_governed,69.23599999999999,60.120000000000005,51.434000000000005,89.23999999999998,1.0,0.001953125,0.037109375,True
S1,p95_time_loss_s,P95 time loss (s),agentic_governed,coordinated_maxpressure,10,positive_favors_governed,128.74200000000002,99.045,76.99669999999999,183.525575,1.0,0.001953125,0.037109375,True
S1,p95_time_loss_s,P95 time loss (s),agentic_governed,fixed,10,positive_favors_governed,14.551999999999996,11.944999999999993,-1.095700000000004,31.299124999999986,0.5272727272727272,0.16015625,1.0,False
S1,p95_time_loss_s,P95 time loss (s),agentic_governed,local_maxwave,10,positive_favors_governed,-21.493000000000002,-19.630000000000024,-33.65605000000001,-9.028974999999994,-0.8545454545454545,0.013671875,0.19140625,False
S1,p95_trip_time_s,P95 trip time (s),agentic_governed,agentic_unguarded,10,positive_favors_governed,-4.3,-5.0,-14.7,6.1,-0.2727272727272727,0.4921875,1.0,False
S1,p95_trip_time_s,P95 trip time (s),agentic_governed,cloud_maxpressure,10,positive_favors_governed,70.0,65.5,50.5,91.7,1.0,0.001953125,0.037109375,True
S1,p95_trip_time_s,P95 trip time (s),agentic_governed,coordinated_maxpressure,10,positive_favors_governed,143.1,114.0,90.8,203.1,1.0,0.001953125,0.037109375,True
S1,p95_trip_time_s,P95 trip time (s),agentic_governed,fixed,10,positive_favors_governed,17.9,16.0,8.8,27.6,0.8909090909090909,0.009765625,0.13671875,False
S1,p95_trip_time_s,P95 trip time (s),agentic_governed,local_maxwave,10,positive_favors_governed,-11.3,-13.5,-20.2,-2.0,-0.6909090909090909,0.052734375,0.6328125,False
S1,completed_trips,Completed trips,agentic_governed,agentic_unguarded,10,positive_favors_governed,4.2,3.5,0.3,8.2,0.5818181818181818,0.11328125,1.0,False
S1,completed_trips,Completed trips,agentic_governed,cloud_maxpressure,10,positive_favors_governed,27.8,28.5,21.6,33.7,1.0,0.001953125,0.03515625,True
S1,completed_trips,Completed trips,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,24.9,20.0,18.6,31.9,1.0,0.001953125,0.03515625,True
S1,completed_trips,Completed trips,agentic_governed,fixed,10,positive_favors_governed,17.4,15.0,14.0,21.1,1.0,0.001953125,0.03515625,True
S1,completed_trips,Completed trips,agentic_governed,local_maxwave,10,positive_favors_governed,-0.7,-0.5,-3.6,2.0,-0.2,0.66015625,1.0,False
S1,max_total_queue,Maximum total queue,agentic_governed,agentic_unguarded,10,positive_favors_governed,5.7,8.5,-5.5,16.2,0.38181818181818183,0.322265625,1.0,False
S1,max_total_queue,Maximum total queue,agentic_governed,cloud_maxpressure,10,positive_favors_governed,58.1,59.0,46.2,68.6,1.0,0.001953125,0.041015625,True
S1,max_total_queue,Maximum total queue,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,77.5,70.0,61.2,95.3,1.0,0.001953125,0.041015625,True
S1,max_total_queue,Maximum total queue,agentic_governed,fixed,10,positive_favors_governed,7.2,6.0,0.4,14.2,0.5636363636363636,0.125,1.0,False
S1,max_total_queue,Maximum total queue,agentic_governed,local_maxwave,10,positive_favors_governed,-4.5,-9.0,-11.3,3.1,-0.38181818181818183,0.30078125,1.0,False
S1,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,agentic_unguarded,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,cloud_maxpressure,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,coordinated_maxpressure,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,fixed,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,max_spillback_duration_s,Maximum spillback duration (s),agentic_governed,local_maxwave,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
S1,wan_application_bytes,WAN application bytes/h,agentic_governed,agentic_unguarded,10,positive_favors_governed,173.4,314.5,-28.902499999999996,366.01749999999976,0.5636363636363636,0.130859375,0.5234375,False
S1,wan_application_bytes,WAN application bytes/h,agentic_governed,cloud_maxpressure,10,positive_favors_governed,8387669.3,8386390.5,8385928.655,8390442.0,1.0,0.001953125,0.025390625,True
S1,wan_application_bytes,WAN application bytes/h,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,-393745.6,-394981.0,-395147.3,-391099.285,-1.0,0.001953125,0.025390625,True
S1,wan_application_bytes,WAN application bytes/h,agentic_governed,fixed,10,positive_favors_governed,-393745.6,-394981.0,-395154.2025,-391091.485,-1.0,0.001953125,0.025390625,True
S1,wan_application_bytes,WAN application bytes/h,agentic_governed,local_maxwave,10,positive_favors_governed,-393745.6,-394981.0,-395152.5025,-391098.095,-1.0,0.001953125,0.025390625,True
S1,peer_application_bytes,Peer application bytes/h,agentic_governed,agentic_unguarded,10,positive_favors_governed,27.2,303.0,-574.67,559.7249999999997,0.16363636363636364,0.6953125,1.0,False
S1,peer_application_bytes,Peer application bytes/h,agentic_governed,cloud_maxpressure,10,positive_favors_governed,-1860151.4,-1860266.0,-1860668.2049999998,-1859599.9975,-1.0,0.001953125,0.025390625,True
S1,peer_application_bytes,Peer application bytes/h,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,-1860151.4,-1860266.0,-1860678.2075,-1859605.58,-1.0,0.001953125,0.025390625,True
S1,peer_application_bytes,Peer application bytes/h,agentic_governed,fixed,10,positive_favors_governed,-1860151.4,-1860266.0,-1860678.31,-1859613.4975,-1.0,0.001953125,0.025390625,True
S1,peer_application_bytes,Peer application bytes/h,agentic_governed,local_maxwave,10,positive_favors_governed,-1860151.4,-1860266.0,-1860675.4349999998,-1859607.1875,-1.0,0.001953125,0.025390625,True
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,agentic_unguarded,10,positive_favors_governed,4.7,3.5,1.2,8.8,0.7090909090909091,0.048828125,0.09765625,False
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,cloud_maxpressure,10,positive_favors_governed,-15.6,-16.0,-18.0,-13.1,-1.0,0.001953125,0.021484375,True
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,coordinated_maxpressure,10,positive_favors_governed,-15.6,-16.0,-18.0,-13.1,-1.0,0.001953125,0.021484375,True
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,fixed,10,positive_favors_governed,-15.6,-16.0,-18.0,-13.1,-1.0,0.001953125,0.021484375,True
S1,proposed_unsafe_actions,Proposed policy violations,agentic_governed,local_maxwave,10,positive_favors_governed,-15.6,-16.0,-18.0,-13.1,-1.0,0.001953125,0.021484375,True
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,agentic_unguarded,10,positive_favors_governed,20.3,21.5,16.5,24.0,1.0,0.001953125,0.046875,True
S1,executed_unsafe_actions,Executed policy violations,agentic_governed,cloud_maxpressure,10,positive_favors_governed,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
