state_index,repetition,source_identity,scenario,seed,status,latency_s,input_tokens,cached_input_tokens,output_tokens,estimated_input_tokens,output_sha256,state_mean_agent_modal_agreement,state_unique_exact_outputs,state_valid_repetitions,state_all_repetitions_valid
0,0,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,ok,3.845981162001408,2909,1792,398,3162.0,7b725937040a0732814b67cd8e5518c1fd517f4bbce102739c6b34d6d25c2228,0.325,5,5,True
0,1,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,ok,3.385919237000053,2909,1792,406,3162.0,615759069f638946d3182c4a9ec06b15efd844e7ca5fa58ae7ed4d55cdb3037d,0.325,5,5,True
0,2,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,ok,3.2577208389993757,2909,1792,394,3162.0,1db83f21c0b440d5c50b8cadf667f82c42e0817e2224419a0bb71d71e7f79373,0.325,5,5,True
0,3,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,ok,3.8362898790001054,2909,1792,399,3162.0,198ee4c3092a54e94e79b5d99069ff97b7fb81314574ca019e7ec2594f6b2871,0.325,5,5,True
0,4,S0_agentic_governed_2112|8|7b21f7ae0f34a7a3a30564574fca03c06f0c7606760acaa196d780479a5ba839,S0,2112,ok,3.5808343999997305,2909,1792,400,3162.0,33256b86529d5808f7e6711e04f664b4413014b1257c319911271e6d1cd66128,0.325,5,5,True
1,0,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,ok,3.451183569999557,2907,1792,395,3160.0,eb83658161204a6de8b9a1407b764fdaefcbea9a8a94e2704fa86e7454ffde31,0.75,5,5,True
1,1,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,ok,3.3705670630006352,2907,1792,401,3160.0,3d3eab8a976110b6a6f461df2534dd09e08cfc98159b4110706c469068f19df2,0.75,5,5,True
1,2,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,ok,5.688197284001944,2907,1792,395,3160.0,74657be06a8629d2beb0f8bc600006448387948242519ec400fe58d87cdc186c,0.75,5,5,True
1,3,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,ok,3.2862302220019046,2907,1792,396,3160.0,4b5692042c086a51718efc067dbf3da0b1d1858a2e74c657a50176da5df19d31,0.75,5,5,True
1,4,S1_agentic_governed_3105|26|2a781763cd9c151da0097ae44373c26619484cc662f0be391cfacdd93a3fe611,S1,3105,ok,3.644071292997978,2907,1792,393,3160.0,fcc0ab6169be54de1a888da7bbd4b1be8d09fa23a2042a9345f8942cce0f8eee,0.75,5,5,True
2,0,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,ok,3.8382418230030453,2914,2816,401,3167.0,171ad520b2da6c0a962c42456ed2fb37d88038476ea7c339b7ac605ead057f85,0.65,5,5,True
2,1,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,ok,2.9682397649994527,2914,2816,402,3167.0,e3daee9ce2e3b7fe5202b5ef64bd55656c0da8676be6628071982a90a7dc6104,0.65,5,5,True
2,2,S2_agentic_governed_2112|13|e381f27575a3cc2c6a73ab5145ec9891324c90d41cd147ab5fbc2e2ff2ce73c0,S2,2112,ok,3.0700543360035226,2914,2816,397,3167.0,5183909c40884beaaedb2ac753ff11d9fcdc20bff231bbd3c4a0ecd25dd0eaa1,0.65,5,5,True
