episode,training_seed,episode_reward,best_episode_to_date,best_reward_to_date
1,102,-8004185.0,1,-8004185.0
2,103,-6571945.0,2,-6571945.0
3,104,-7855805.0,2,-6571945.0
4,105,-7041289.0,2,-6571945.0
5,106,-7232135.0,2,-6571945.0
6,107,-6404110.0,6,-6404110.0
7,108,-6410420.0,6,-6404110.0
8,109,-4940586.0,8,-4940586.0
9,110,-5595478.0,8,-4940586.0
10,101,-4495394.0,10,-4495394.0
11,102,-3025014.0,11,-3025014.0
12,103,-3686908.0,11,-3025014.0
13,104,-2845704.0,13,-2845704.0
14,105,-2642066.0,14,-2642066.0
15,106,-3044561.0,14,-2642066.0
16,107,-2502971.0,16,-2502971.0
17,108,-2362692.0,17,-2362692.0
18,109,-1946003.0,18,-1946003.0
19,110,-1395593.0,19,-1395593.0
20,101,-1637418.0,19,-1395593.0
21,102,-2869004.0,19,-1395593.0
22,103,-1894880.0,19,-1395593.0
23,104,-1234580.0,23,-1234580.0
24,105,-1107219.0,24,-1107219.0
25,106,-1273543.0,24,-1107219.0
26,107,-1385156.0,24,-1107219.0
27,108,-1235779.0,24,-1107219.0
28,109,-911452.0,28,-911452.0
29,110,-1629766.0,28,-911452.0
30,101,-1133295.0,28,-911452.0
31,102,-862967.0,31,-862967.0
32,103,-854673.0,32,-854673.0
33,104,-1045015.0,32,-854673.0
34,105,-1030481.0,32,-854673.0
35,106,-1349398.0,32,-854673.0
36,107,-840072.0,36,-840072.0
37,108,-634389.0,37,-634389.0
38,109,-1013605.0,37,-634389.0
39,110,-811467.0,37,-634389.0
40,101,-976436.0,37,-634389.0
41,102,-939472.0,37,-634389.0
42,103,-1130224.0,37,-634389.0
43,104,-1231139.0,37,-634389.0
44,105,-694697.0,37,-634389.0
45,106,-767013.0,37,-634389.0
46,107,-700504.0,37,-634389.0
47,108,-530019.0,47,-530019.0
48,109,-526698.0,48,-526698.0
49,110,-881891.0,48,-526698.0
50,101,-812797.0,48,-526698.0
51,102,-413558.0,51,-413558.0
52,103,-264627.0,52,-264627.0
53,104,-356626.0,52,-264627.0
54,105,-272513.0,52,-264627.0
55,106,-228788.0,55,-228788.0
56,107,-283749.0,55,-228788.0
57,108,-311183.0,55,-228788.0
58,109,-382952.0,55,-228788.0
59,110,-146408.0,59,-146408.0
60,101,-202351.0,59,-146408.0
61,102,-133035.0,61,-133035.0
62,103,-123166.0,62,-123166.0
63,104,-141009.0,62,-123166.0
64,105,-151445.0,62,-123166.0
65,106,-167705.0,62,-123166.0
66,107,-329260.0,62,-123166.0
67,108,-124553.0,62,-123166.0
68,109,-104953.0,68,-104953.0
69,110,-103336.0,69,-103336.0
70,101,-98791.0,70,-98791.0
71,102,-106076.0,70,-98791.0
72,103,-80762.0,72,-80762.0
73,104,-85945.0,72,-80762.0
74,105,-104069.0,72,-80762.0
75,106,-1172063.0,72,-80762.0
76,107,-73079.0,76,-73079.0
77,108,-107719.0,76,-73079.0
78,109,-74945.0,76,-73079.0
79,110,-154598.0,76,-73079.0
80,101,-532148.0,76,-73079.0
81,102,-93008.0,76,-73079.0
82,103,-72400.0,82,-72400.0
83,104,-93424.0,82,-72400.0
84,105,-56786.0,84,-56786.0
85,106,-50217.0,85,-50217.0
86,107,-62983.0,85,-50217.0
87,108,-45392.0,87,-45392.0
88,109,-47806.0,87,-45392.0
89,110,-51413.0,87,-45392.0
90,101,-51128.0,87,-45392.0
91,102,-55022.0,87,-45392.0
92,103,-64331.0,87,-45392.0
93,104,-51675.0,87,-45392.0
94,105,-364635.0,87,-45392.0
95,106,-73316.0,87,-45392.0
96,107,-531773.0,87,-45392.0
97,108,-58747.0,87,-45392.0
98,109,-84112.0,87,-45392.0
99,110,-52864.0,87,-45392.0
100,101,-66661.0,87,-45392.0
