trips_recorded,completed_trips,unfinished_trips,mean_time_loss_s,p95_time_loss_s,p95_trip_time_s,emergency_trip_time_s,controller,placement,scenario,seed,action_delay_s,action_loss_rate
2046,2017,29,23.803936539414973,62.89,183.0,,idqn_local,local,S0,2101,0,0.0
2046,2015,31,22.698377171215878,60.82,181.0,,idqn_local,local,S0,2102,0,0.0
2046,2017,29,24.041383242439267,65.15,189.0,,idqn_local,local,S0,2103,0,0.0
2046,2018,28,22.265371655104065,58.39,184.0,,idqn_local,local,S0,2104,0,0.0
2046,2016,30,23.716294642857143,64.58,183.0,,idqn_local,local,S0,2105,0,0.0
2046,2016,30,24.644503968253964,65.72,185.0,,idqn_local,local,S0,2106,0,0.0
2046,2015,31,22.460506203473944,56.09,179.0,,idqn_local,local,S0,2107,0,0.0
2046,2017,29,22.86307387208726,57.59,183.0,,idqn_local,local,S0,2108,0,0.0
2046,2014,32,22.700119165839126,59.09,183.0,,idqn_local,local,S0,2109,0,0.0
2046,2018,28,23.77287413280476,61.5,187.0,,idqn_local,local,S0,2110,0,0.0
2046,2014,32,23.738152929493545,62.21,185.0,,idqn_local,local,S0,2111,0,0.0
2046,2013,33,22.839398907103824,61.03,182.0,,idqn_local,local,S0,2112,0,0.0
2046,2016,30,23.6746378968254,64.36,187.0,,idqn_local,local,S0,2113,0,0.0
2046,2017,29,23.40250867625186,62.03,184.0,,idqn_local,local,S0,2114,0,0.0
2046,2015,31,22.288466501240695,55.15,182.0,,idqn_local,local,S0,2115,0,0.0
2046,2015,31,23.565414392059555,63.52,187.0,,idqn_local,local,S0,2116,0,0.0
2046,2016,30,22.73851686507937,58.2,183.0,,idqn_local,local,S0,2117,0,0.0
2046,2015,31,22.69073945409429,58.3,182.0,,idqn_local,local,S0,2118,0,0.0
2046,2015,31,22.891250620347396,59.38,185.0,,idqn_local,local,S0,2119,0,0.0
2046,2016,30,24.155887896825398,63.03,187.0,,idqn_local,local,S0,2120,0,0.0
2046,2016,30,24.393184523809527,65.05,189.0,,idqn_cloud,cloud,S0,2101,1,0.005
2046,2016,30,24.22222222222222,61.43,183.0,,idqn_cloud,cloud,S0,2102,1,0.005
2046,2017,29,24.10432821021319,61.96,187.0,,idqn_cloud,cloud,S0,2103,1,0.005
2046,2017,29,23.241646008924146,60.95,186.0,,idqn_cloud,cloud,S0,2104,1,0.005
2046,2018,28,24.168245787908823,63.3,186.0,,idqn_cloud,cloud,S0,2105,1,0.005
2046,2014,32,23.97793445878848,63.35,186.0,,idqn_cloud,cloud,S0,2106,1,0.005
2046,2015,31,23.049826302729528,59.36,182.0,,idqn_cloud,cloud,S0,2107,1,0.005
2046,2017,29,23.51365889935548,62.59,186.0,,idqn_cloud,cloud,S0,2108,1,0.005
2046,2012,34,22.896978131212723,59.1,182.0,,idqn_cloud,cloud,S0,2109,1,0.005
2046,2015,31,24.35325558312655,62.25,185.0,,idqn_cloud,cloud,S0,2110,1,0.005
2046,2014,32,23.816092353525324,60.92,185.0,,idqn_cloud,cloud,S0,2111,1,0.005
2046,2013,33,24.27471435668157,61.63,187.0,,idqn_cloud,cloud,S0,2112,1,0.005
2046,2015,31,22.557816377171214,57.96,181.0,,idqn_cloud,cloud,S0,2113,1,0.005
2046,2016,30,23.4187003968254,59.03,181.0,,idqn_cloud,cloud,S0,2114,1,0.005
2046,2013,33,23.94524093392946,64.04,187.0,,idqn_cloud,cloud,S0,2115,1,0.005
2046,2014,32,24.069131082423038,61.28,186.0,,idqn_cloud,cloud,S0,2116,1,0.005
2046,2018,28,24.816739345887015,67.66,188.0,,idqn_cloud,cloud,S0,2117,1,0.005
2046,2015,31,24.64613399503722,62.35,188.0,,idqn_cloud,cloud,S0,2118,1,0.005
2046,2014,32,24.159627606752725,63.7,185.0,,idqn_cloud,cloud,S0,2119,1,0.005
2046,2016,30,23.822073412698415,62.36,186.0,,idqn_cloud,cloud,S0,2120,1,0.005
